# Shipments,sZip,cZip,CarrierName,Weight,Charge,Estimated PARCEL$,Savings
13323,N8W0A7,T9W1C5,FedEx Freight,85,$405.44 ,$314 ,$90 
11339,37813,41048,FedEx Freight,97,$170.05 ,$80 ,$89 
8616,41048,10017,FedEx Freight,90,$329.33 ,$239 ,$89 
16009,92647,53209,XPO,95,$196.42 ,$106 ,$89 
12238,21226,41048,FedEx Freight,15,$125.11 ,$35 ,$89 
2166,41048,37380,DAFG,126,$304.61 ,$216 ,$88 
15519,41048,7920,WARD,80,$141.90 ,$55 ,$86 
5765,41048,92614,ABF,91,$352.43 ,$265 ,$86 
7848,41048,11777,FedEx Freight,89,$231.61 ,$146 ,$85 
5150,41048,92503,ABF,65,$280.36 ,$194 ,$85 
15901,1913,33407,XPO,142,$216.80 ,$131 ,$85 
14420,18020,41048,PITD,63,$166.42 ,$81 ,$84 
15923,1913,78045,XPO,105,$234.35 ,$150 ,$84 
9779,N8W0A7,L5B1M5,FedEx Freight,59,$400.73 ,$318 ,$82 
4148,41048,75219,AVRT,73,$252.50 ,$170 ,$82 
5212,41048,97330,ABF,84,$285.52 ,$205 ,$80 
10605,85040,41048,FedEx Freight,141,$220.51 ,$141 ,$79 
8980,45377,41048,FedEx Freight,89,$406.51 ,$326 ,$79 
5048,41048,54986,ABF,120,$387.49 ,$309 ,$78 
70,41048,44054,DAFG,132,$277.20 ,$199 ,$77 
9479,41048,5678,FedEx Freight,106,$166.21 ,$90 ,$76 
978,41048,45402,DAFG,56,$168.60 ,$93 ,$75 
1336,41048,64030,DAFG,54,$201.80 ,$126 ,$75 
3515,41048,37236,AVRT,78,$129.30 ,$56 ,$73 
13354,41048,H9X4C7,FedEx Freight,86,$338.81 ,$265 ,$73 
5047,41048,89030,ABF,65,$298.31 ,$226 ,$72 
15271,41048,8210,WARD,90,$128.27 ,$55 ,$72 
10283,37813,41048,FedEx Freight,97,$152.01 ,$80 ,$71 
4621,41048,35812,AVRT,90,$217.01 ,$145 ,$71 
15892,1913,53546,XPO,148,$217.16 ,$145 ,$71 
7776,N8W0A7,P8T1B4,FedEx Freight,140,$826.10 ,$755 ,$70 
2617,30349,41048,AVRT,100,$132.01 ,$61 ,$70 
15880,1913,85338,XPO,103,$199.64 ,$130 ,$69 
4993,41048,85004,ABF,85,$282.30 ,$213 ,$68 
2935,30349,41048,AVRT,100,$130.39 ,$61 ,$68 
4556,41048,75599,AVRT,80,$215.59 ,$148 ,$67 
4692,41048,75599,AVRT,80,$215.39 ,$148 ,$67 
14434,18020,41048,PITD,77,$166.42 ,$99 ,$66 
7852,N8W0A7,L4N0A3,FedEx Freight,90,$552.13 ,$485 ,$66 
6980,41048,98052,Estes,95,$306.91 ,$240 ,$65 
4896,41048,92805,ABF,70,$366.65 ,$301 ,$65 
1816,41048,54016,DAFG,63,$201.40 ,$137 ,$64 
7793,37813,41048,FedEx Freight,109,$154.12 ,$89 ,$64 
14203,18020,91761,PITD,144,$583.20 ,$519 ,$63 
8793,49423,33467,FedEx Freight,103,$151.86 ,$89 ,$62 
4699,41048,30054,AVRT,120,$335.19 ,$273 ,$61 
4840,41048,33483,AVRT,90,$252.50 ,$193 ,$59 
15669,41048,17603,WARD,76,$234.18 ,$174 ,$59 
14923,41048,73505,SEFL,90,$302.57 ,$243 ,$58 
5323,1913,90250,ABF,117,$301.07 ,$243 ,$57 
15925,1913,24151,XPO,86,$164.26 ,$106 ,$57 
1385,41048,47170,DAFG,96,$237.96 ,$181 ,$56 
8122,41048,31620,FedEx Freight,90,$141.78 ,$84 ,$56 
5357,41048,41048,ABF,148,$557.55 ,$501 ,$56 
13673,N8W0A7,T6X0A7,FedEx Freight,77,$341.67 ,$285 ,$56 
14445,18020,41048,PITD,90,$173.08 ,$116 ,$56 
5148,41048,85202,ABF,75,$300.15 ,$244 ,$55 
9257,37813,41048,FedEx Freight,122,$156.00 ,$100 ,$55 
4763,41048,77590,AVRT,120,$249.18 ,$193 ,$55 
264,41048,46323,DAFG,120,$169.00 ,$114 ,$54 
4808,41048,42740,AVRT,120,$162.50 ,$109 ,$53 
11946,N8W0A7,T6H5R7,FedEx Freight,60,$273.33 ,$222 ,$51 
4504,41048,75057,AVRT,90,$251.81 ,$199 ,$51 
13800,41048,89118,FedEx Freight,120,$458.88 ,$407 ,$51 
14454,41048,5446,PITD,90,$206.06 ,$154 ,$51 
14507,41048,25427,RL Carriers,90,$159.52 ,$109 ,$50 
15184,41048,19716,WARD,115,$161.42 ,$111 ,$50 
4917,41048,85006,ABF,55,$481.00 ,$430 ,$50 
4726,41048,33762,AVRT,80,$248.57 ,$199 ,$49 
14577,41048,33317,RL Carriers,90,$230.16 ,$180 ,$49 
4937,41048,10010,ABF,95,$310.98 ,$261 ,$49 
12978,37931,43221,FedEx Freight,137,$299.12 ,$249 ,$49 
1952,41048,44718,DAFG,106,$292.80 ,$244 ,$48 
5750,41048,91764,ABF,65,$284.88 ,$235 ,$48 
11780,N8W0A7,P7B6V4,FedEx Freight,114,$663.85 ,$615 ,$48 
12456,41048,80223,FedEx Freight,80,$340.97 ,$292 ,$48 
9423,41048,6492,FedEx Freight,90,$192.47 ,$145 ,$47 
12537,45377,37403,FedEx Freight,144,$128.40 ,$80 ,$47 
14364,41048,8731,PITD,90,$252.71 ,$205 ,$46 
1322,41048,60561,DAFG,102,$167.80 ,$121 ,$46 
1585,60106,41048,DAFG,94,$102.80 ,$56 ,$46 
10451,N8W0A7,P7B6V4,FedEx Freight,63,$386.55 ,$339 ,$46 
2934,30349,41048,AVRT,139,$131.81 ,$85 ,$45 
4536,41048,32899,AVRT,120,$215.90 ,$171 ,$44 
1411,41048,60441,DAFG,76,$197.96 ,$153 ,$44 
6205,41048,84113,Estes,120,$469.63 ,$426 ,$43 
10168,41048,37419,FedEx Freight,80,$121.99 ,$78 ,$43 
14555,1913,22304,RL Carriers,148,$225.19 ,$182 ,$42 
5021,41048,85233,ABF,95,$470.49 ,$428 ,$42 
16071,1913,30721,XPO,126,$178.75 ,$137 ,$40 
5584,41048,45246,ABF,80,$233.16 ,$192 ,$40 
5311,41048,93901,ABF,70,$279.29 ,$238 ,$40 
7982,37813,41048,FedEx Freight,139,$154.59 ,$114 ,$39 
6399,41048,93101,Estes,60,$288.49 ,$248 ,$39 
5099,41048,85215,ABF,90,$279.29 ,$240 ,$38 
10652,N8W0A7,T6X0W8,FedEx Freight,124,$497.07 ,$459 ,$38 
5163,41048,84790,ABF,70,$286.60 ,$249 ,$37 
11089,N8W0A7,K7R3R1,FedEx Freight,123,$701.12 ,$663 ,$37 
10784,N8W0A7,J0J1E0,FedEx Freight,26,$241.46 ,$204 ,$37 
3707,41048,60642,AVRT,57,$131.00 ,$94 ,$36 
3048,41048,28075,AVRT,70,$132.01 ,$95 ,$36 
4173,41048,33136,AVRT,95,$247.39 ,$210 ,$36 
4915,41048,92620,ABF,120,$283.80 ,$248 ,$35 
5317,41048,91761,ABF,125,$461.44 ,$426 ,$35 
11414,N8W0A7,L5W0G2,FedEx Freight,104,$595.28 ,$561 ,$34 
4875,41048,80903,ABF,120,$424.05 ,$390 ,$33 
3705,41048,32563,AVRT,95,$251.00 ,$217 ,$33 
5154,41048,38103,ABF,95,$409.82 ,$377 ,$32 
6374,41048,53080,Estes,91,$159.96 ,$128 ,$31 
7,41048,60449,DAFG,90,$197.80 ,$166 ,$31 
3771,41048,60642,AVRT,60,$130.39 ,$99 ,$31 
15276,41048,7728,WARD,149,$274.67 ,$242 ,$31 
5455,41048,38134,ABF,60,$379.29 ,$347 ,$31 
5830,41048,91201,ABF,90,$460.15 ,$429 ,$30 
5156,41048,95926,ABF,110,$639.81 ,$610 ,$29 
1719,41048,55438,DAFG,143,$210.31 ,$181 ,$28 
3492,41048,77803,AVRT,72,$250.90 ,$222 ,$28 
8935,41048,89030,FedEx Freight,110,$410.98 ,$382 ,$28 
5484,41048,84104,ABF,140,$512.04 ,$484 ,$27 
9429,41048,89030,FedEx Freight,120,$442.62 ,$417 ,$25 
6255,41048,85308,Estes,120,$668.98 ,$643 ,$25 
7602,41048,89030,FedEx Freight,120,$442.29 ,$417 ,$24 
15530,41048,7407,WARD,99,$101.75 ,$77 ,$24 
4928,41048,74135,ABF,125,$293.93 ,$269 ,$24 
7256,41048,92653,Estes,102,$272.81 ,$248 ,$24 
8239,N8W0A7,T4A0W7,FedEx Freight,93,$366.77 ,$344 ,$22 
8082,15401,41048,FedEx Freight,60,$115.58 ,$92 ,$22 
9012,41048,89030,FedEx Freight,90,$335.76 ,$313 ,$22 
9612,N8W0A7,T8X0B4,FedEx Freight,90,$354.27 ,$333 ,$21 
10669,N8W0A7,T2E3A7,FedEx Freight,136,$524.52 ,$503 ,$21 
3189,41048,34232,AVRT,50,$133.42 ,$113 ,$20 
8787,41048,89030,FedEx Freight,80,$298.91 ,$278 ,$20 
10286,N8W0A7,T2R1R9,FedEx Freight,52,$212.07 ,$192 ,$19 
15721,41048,44706,WARD,120,$226.60 ,$206 ,$19 
13234,41048,89030,FedEx Freight,55,$209.53 ,$191 ,$18 
5174,41048,90280,ABF,137,$415.48 ,$397 ,$18 
10825,41048,80216,FedEx Freight,120,$356.16 ,$337 ,$18 
7567,41048,89030,FedEx Freight,90,$331.46 ,$313 ,$18 
7975,41048,89030,FedEx Freight,90,$331.46 ,$313 ,$18 
6994,41048,98052,Estes,115,$310.16 ,$291 ,$18 
8831,N8W0A7,P9N3W7,FedEx Freight,83,$466.53 ,$447 ,$18 
7172,1913,41048,Estes,146,$189.81 ,$170 ,$18 
7654,41048,89030,FedEx Freight,80,$295.54 ,$278 ,$17 
3001,41048,36830,AVRT,115,$336.70 ,$319 ,$17 
6332,41048,90746,Estes,116,$439.34 ,$422 ,$17 
7075,41048,4102,Estes,104,$269.97 ,$252 ,$17 
7766,41048,89030,FedEx Freight,80,$294.86 ,$278 ,$16 
7705,41048,89030,FedEx Freight,80,$294.64 ,$278 ,$16 
14712,41048,32801,RL Carriers,120,$273.82 ,$257 ,$15 
6411,41048,98052,Estes,121,$322.35 ,$306 ,$15 
10636,N8W0A7,T2G2Y8,FedEx Freight,94,$362.00 ,$347 ,$14 
6768,41048,89119,Estes,81,$286.88 ,$272 ,$14 
2359,75006,41048,AVRT,90,$133.42 ,$118 ,$14 
16099,1913,53186,XPO,128,$215.33 ,$202 ,$13 
9768,N8W0A7,T2G5P6,FedEx Freight,95,$363.43 ,$351 ,$11 
2775,75006,41048,AVRT,90,$129.18 ,$118 ,$10 
5253,41048,92503,ABF,90,$280.36 ,$269 ,$10 
11378,15401,41048,FedEx Freight,115,$187.85 ,$177 ,$9 
4134,41048,33033,AVRT,65,$247.50 ,$238 ,$9 
5498,41048,12065,ABF,83,$281.36 ,$272 ,$8 
12415,N8W0A7,T5J5C6,FedEx Freight,123,$464.11 ,$455 ,$8 
4802,41048,73538,AVRT,120,$184.50 ,$176 ,$7 
7706,15401,41048,FedEx Freight,135,$216.00 ,$208 ,$7 
982,55306,41048,DAFG,110,$112.20 ,$106 ,$6 
267,41048,60642,DAFG,129,$219.91 ,$213 ,$6 
14254,41048,1501,PITD,110,$201.20 ,$194 ,$6 
12272,41048,11735,FedEx Freight,80,$249.56 ,$243 ,$6 
13169,N8W0A7,T7Z1L4,FedEx Freight,128,$480.72 ,$473 ,$6 
8046,15401,41048,FedEx Freight,115,$183.99 ,$177 ,$6 
7666,15401,41048,FedEx Freight,135,$215.34 ,$208 ,$6 
12132,15401,41048,FedEx Freight,80,$130.08 ,$123 ,$6 
6241,41048,80033,Estes,70,$235.16 ,$230 ,$5 
7608,15401,41048,FedEx Freight,100,$160.11 ,$154 ,$5 
14511,1913,41042,RL Carriers,131,$158.93 ,$153 ,$5 
14643,41048,85034,RL Carriers,110,$428.67 ,$423 ,$5 
15608,41048,17543,WARD,65,$220.60 ,$214 ,$5 
8481,41048,1821,FedEx Freight,80,$191.56 ,$187 ,$4 
10599,15401,41048,FedEx Freight,80,$128.00 ,$123 ,$4 
9217,41048,1821,FedEx Freight,80,$192.14 ,$187 ,$4 
4792,41048,70507,AVRT,120,$162.91 ,$158 ,$4 
11102,N8W0A7,T4P3P7,FedEx Freight,90,$338.03 ,$333 ,$4 
14359,41048,4102,PITD,80,$198.14 ,$193 ,$4 
14045,41048,72015,FedEx Freight,130,$176.42 ,$171 ,$4 
4771,41048,35630,AVRT,120,$333.88 ,$329 ,$4 
4962,41048,92660,ABF,65,$281.44 ,$278 ,$3 
14603,41048,85756,RL Carriers,86,$246.74 ,$242 ,$3 
14951,41048,32550,SEFL,110,$306.40 ,$303 ,$2 
4859,41048,74107,AVRT,120,$337.08 ,$335 ,$1 
3194,41048,20001,AVRT,73,$199.66 ,$197 ,$1 
