# Shipments,sZip,sState,cZip,cState,Weight,Charge,preferred_loc,preferred_state,differnece_distance,Estimated $,Savings
7641,N8W0A7,ON,V3T2W6,BC,346,$481.44 ,90630,CA,871,$103.44 ,$378 
7603,N8W0A7,ON,S3N2V7,SK,300,$480.81 ,54942,WI,303,$102.81 ,$378 
9237,N8W0A7,ON,V2X8G1,BC,494,$481.11 ,90630,CA,864,$103.11 ,$378 
12591,N8W0A7,ON,T6X0V1,AB,500,$480.99 ,54942,WI,305,$102.99 ,$378 
13169,N8W0A7,ON,T7Z1L4,AB,128,$480.72 ,54942,WI,305,$103.72 ,$377 
10881,N8W0A7,ON,V3W3B2,BC,232,$479.81 ,90630,CA,875,$102.81 ,$377 
11155,N8W0A7,ON,V5C4B1,BC,433,$479.99 ,90630,CA,872,$102.99 ,$377 
10593,N8W0A7,ON,V4N4C1,BC,237,$479.26 ,90630,CA,867,$103.26 ,$376 
10752,N8W0A7,ON,V3N4X8,BC,149,$479.64 ,90630,CA,874,$103.64 ,$376 
10801,N8W0A7,ON,V7Y1G5,BC,107,$479.43 ,90630,CA,874,$103.43 ,$376 
10822,N8W0A7,ON,V2X8G1,BC,321,$479.27 ,90630,CA,864,$103.27 ,$376 
10756,N8W0A7,ON,V3K6Y7,BC,442,$479.27 ,90630,CA,869,$103.27 ,$376 
7790,N8W0A7,ON,V3S7A4,BC,100,$478.27 ,90630,CA,871,$103.27 ,$375 
9704,N8W0A7,ON,V2X8G1,BC,342,$478.01 ,90630,CA,864,$103.01 ,$375 
8396,N8W0A7,ON,V6V3A4,BC,232,$478.29 ,90630,CA,880,$103.29 ,$375 
9853,N8W0A7,ON,V4N4C1,BC,126,$478.01 ,90630,CA,867,$103.01 ,$375 
8290,N8W0A7,ON,S7K3P1,SK,150,$476.76 ,54942,WI,304,$103.76 ,$373 
10863,N8W0A7,ON,V2X1G8,BC,338,$476.14 ,90630,CA,864,$103.14 ,$373 
9441,N8W0A7,ON,V5A1X8,BC,459,$475.18 ,90630,CA,871,$103.18 ,$372 
10729,N8W0A7,ON,V4N4X5,BC,171,$474.43 ,90630,CA,867,$103.43 ,$371 
11825,N8W0A7,ON,V3S5X7,BC,254,$473.87 ,90630,CA,876,$102.87 ,$371 
9898,N8W0A7,ON,V1M3C9,BC,88,$474.27 ,90630,CA,866,$103.27 ,$371 
12285,N8W0A7,ON,V7B1L5,BC,430,$473.86 ,90630,CA,882,$102.86 ,$371 
10459,N8W0A7,ON,V3K6Y7,BC,150,$473.99 ,90630,CA,869,$102.99 ,$371 
11638,N8W0A7,ON,V2X8G1,BC,347,$474.29 ,90630,CA,864,$103.29 ,$371 
9635,N8W0A7,ON,V5X1X8,BC,275,$473.31 ,90630,CA,878,$103.31 ,$370 
9868,N8W0A7,ON,V5A1X8,BC,181,$472.97 ,90630,CA,871,$102.97 ,$370 
10582,N8W0A7,ON,V7A4E9,BC,370,$473.01 ,90630,CA,884,$103.01 ,$370 
9866,N8W0A7,ON,V6V3A4,BC,147,$473.31 ,90630,CA,880,$103.31 ,$370 
11443,N8W0A7,ON,V7J1E4,BC,311,$473.14 ,90630,CA,870,$103.14 ,$370 
12005,N8W0A7,ON,V6X2P4,BC,140,$472.86 ,90630,CA,880,$102.86 ,$370 
9495,N8W0A7,ON,V6A1E1,BC,230,$472.61 ,90630,CA,873,$103.61 ,$369 
12939,N8W0A7,ON,V4G1E4,BC,131,$472.66 ,90630,CA,879,$103.66 ,$369 
9494,N8W0A7,ON,V5A2X4,BC,130,$471.99 ,90630,CA,871,$102.99 ,$369 
