sZip,sState,WeekNumber,Consolidated_data,Weight,Charge,# Shipments
78501,TX,6,KY41048,7160,"$2,816.46 ",6
78501,TX,23,TX78521,13816,"$1,805.50 ",6
78501,TX,41,TX78521,8000,$840.53 ,6
41048,KY,12,IN46738,2583,$694.99 ,6
41048,KY,38,IN46738,3364,$748.14 ,6
78501,TX,20,TX78521,9518,"$1,111.59 ",6
N8W0A7,ON,23,ONL3S3J1,8502,"$2,171.16 ",6
78501,TX,30,TX78521,4495,$710.15 ,6
N8W0A7,ON,28,ONL3S3J1,1416,"$1,123.76 ",6
41048,KY,28,FL33025,17154,"$5,617.56 ",5
41048,KY,12,NY13760,1648,"$1,621.88 ",5
41048,KY,29,FL33025,11053,"$3,690.04 ",5
41048,KY,30,FL33025,15572,"$5,277.54 ",5
41048,KY,32,FL33025,11766,"$4,054.06 ",5
41048,KY,16,FL33025,14347,"$4,709.96 ",5
41048,KY,15,FL33025,12263,"$4,426.55 ",5
41048,KY,17,FL33025,11959,"$4,096.95 ",5
41048,KY,18,FL33025,11872,"$3,952.58 ",5
N8W0A7,ON,36,ONL3S3J1,1282,$962.23 ,5
41048,KY,31,TX75214,888,$942.80 ,5
41048,KY,36,NV89030,9808,"$7,173.56 ",5
N8W0A7,ON,32,BCV2X8G1,1505,"$2,088.24 ",5
41048,KY,24,IN46738,2641,$612.44 ,5
79936,TX,17,KY41048,6972,"$2,949.52 ",5
41048,KY,19,IN46738,1685,$530.00 ,5
53142,WI,22,TX78521,2855,"$2,163.85 ",5
41048,KY,50,FL33025,9618,"$3,734.40 ",5
41048,KY,49,FL33025,18246,"$5,714.16 ",5
41048,KY,47,FL33025,9961,"$3,846.79 ",5
41048,KY,46,FL33025,13335,"$4,960.74 ",5
41048,KY,43,FL33025,14120,"$4,553.75 ",5
41048,KY,42,FL33025,10222,"$3,778.06 ",5
41048,KY,41,FL33025,14926,"$5,183.97 ",5
53142,WI,28,TX78521,1923,"$1,579.43 ",5
41048,KY,13,IL60173,1765,$580.98 ,5
53142,WI,10,TX78521,2910,"$2,236.15 ",5
41048,KY,1,FL33025,8534,"$3,294.53 ",5
41048,KY,49,NY13760,4100,"$3,218.46 ",5
N8W0A7,ON,17,ONL6S6H2,1663,"$1,033.31 ",5
41048,KY,25,TN38118,9274,"$1,889.60 ",5
41048,KY,37,FL33025,13893,"$4,439.62 ",5
41048,KY,38,FL33025,8848,"$2,946.23 ",5
41048,KY,33,FL33025,23098,"$6,639.75 ",5
41048,KY,34,FL33025,12298,"$4,138.10 ",5
41048,KY,36,FL33025,10866,"$3,573.63 ",5
41048,KY,30,CO80129,2851,"$1,896.77 ",5
41048,KY,23,FL33025,10048,"$3,405.44 ",5
41048,KY,24,FL33025,14063,"$4,528.06 ",5
41048,KY,17,IN46738,2411,$561.24 ,5
7950,NJ,5,KY41048,1415,$809.06 ,5
41048,KY,19,FL33025,15519,"$5,059.04 ",5
41048,KY,21,FL33025,13001,"$4,747.68 ",5
41048,KY,8,NV89030,6601,"$4,335.31 ",5
41048,KY,14,NV89030,5230,"$4,486.71 ",5
41048,KY,37,WA98052,2883,"$3,388.93 ",5
41048,KY,31,WA98052,819,"$1,479.62 ",5
38133,TN,46,KY41048,15171,"$2,391.29 ",5
