Zone,sZip,cZip,CarrierName,Weight,charge_display,estimated_display,Savings
3,41048,47274,FEDEX,6,$19.17 ,$11.43 ,$7.74 
3,24073,46738,FEDEX,1,$13.03 ,$8.11 ,$4.92 
2,41048,63376,FEDEX,1,$26.00 ,$8.11 ,$17.89 
2,41048,84025,FEDEX,2,$91.54 ,$8.11 ,$83.43 
3,41048,60134,FEDEX,2,$14.17 ,$8.11 ,$6.06 
2,41048,48180,FEDEX,7,$24.85 ,$18.68 ,$6.17 
3,41048,75063,FEDEX,5,$17.93 ,$17.46 ,$0.47 
3,41048,64681,FEDEX,2,$21.09 ,$8.11 ,$12.98 
3,41048,19020,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,60173,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,13790,FEDEX,8,$22.49 ,$18.65 ,$3.84 
3,41048,60173,FEDEX,4,$14.17 ,$10.71 ,$3.46 
3,41048,54201,FEDEX,27.4,$27.08 ,$13.93 ,$13.15 
2,28273,33166,FEDEX,11,$18.14 ,$11.50 ,$6.64 
3,41048,89139,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,60060,FEDEX,4,$14.17 ,$9.22 ,$4.95 
3,41048,11205,FEDEX,7,$20.16 ,$15.92 ,$4.24 
3,41048,23060,FEDEX,4,$14.17 ,$10.19 ,$3.98 
3,41048,90822,FEDEX,1.9,$8.99 ,$8.11 ,$0.88 
3,41048,92376,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,47715,FEDEX,4,$14.17 ,$9.97 ,$4.20 
2,28273,49512,FEDEX,11,$18.14 ,$8.11 ,$10.03 
3,41048,68701,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,97477,FEDEX,2,$17.93 ,$8.11 ,$9.82 
3,41048,50685,FEDEX,2,$8.86 ,$8.77 ,$0.09 
3,41048,37217,FEDEX,4,$14.17 ,$11.91 ,$2.26 
3,41048,60133,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,19124,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,75028,FEDEX,1.9,$8.86 ,$8.11 ,$0.75 
3,41048,36853,FEDEX,7.2,$11.56 ,$10.54 ,$1.02 
3,41048,46818,FEDEX,1.9,$8.99 ,$8.11 ,$0.88 
3,41048,92376,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,33414,FEDEX,40,$217.28 ,$131.35 ,$85.93 
3,41048,78758,FEDEX,1,$16.40 ,$8.11 ,$8.29 
3,41048,75074,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,75010,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,60188,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,98531,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,61602,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,29191,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,55441,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,78758,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,73013,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,44111,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,41048,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,37087,FEDEX,4,$14.17 ,$12.78 ,$1.39 
3,41048,28226,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,43209,FEDEX,2.2,$8.86 ,$8.11 ,$0.75 
3,41048,12590,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,63401,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,21696,FEDEX,7.2,$11.56 ,$8.11 ,$3.45 
3,41048,80906,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,33186,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,98001,FEDEX,1,$16.90 ,$8.11 ,$8.79 
