sCity,ShipDate,Consolidated_data,Weight,Charge,# Shipments,Estimated Freight$,Savings
Hebron,1/31/2024,AR72908,154,$127.38 ,2,$102 ,$24 
Hebron,11/8/2024,TN37013,210.8,$143.28 ,4,$118 ,$24 
Hebron,2/14/2024,GA30004,166.6,$127.68 ,14,$102 ,$24 
Hebron,10/21/2024,KY42101,214.8,$126.60 ,12,$102 ,$23 
Hebron,3/22/2024,IA52761,163.9,$124.96 ,11,$102 ,$22 
Hebron,11/22/2024,TN37013,214.72,$143.12 ,4,$120 ,$22 
FREMONT,3/7/2024,KY41048,162,$141.66 ,9,$119 ,$22 
Hebron,4/9/2024,IL61484,157.6,$125.04 ,8,$102 ,$22 
Hebron,1/26/2024,PA15238,199.2,$186.84 ,12,$165 ,$21 
Hebron,2/19/2024,MN55344,212.4,$155.40 ,12,$134 ,$20 
Hebron,5/7/2024,SD57107,159.6,$204.87 ,3,$184 ,$20 
TORRANCE,5/7/2024,KY41048,215.2,$176.08 ,8,$156 ,$19 
Bethlehem,4/8/2024,IL60084,172,$158.36 ,2,$139 ,$18 
Hebron,1/12/2024,OH44113,271.7,$173.85 ,19,$155 ,$18 
KNOXVILLE,5/9/2024,KY42101,162,$121.14 ,9,$102 ,$18 
Hebron,2/23/2024,GA30213,295.1,$120.38 ,13,$102 ,$17 
FREMONT,12/13/2024,KY41048,360,$282.45 ,15,$265 ,$17 
Hebron,12/11/2024,IL60642,170.7,$120.51 ,3,$102 ,$17 
Hebron,3/5/2024,GA30004,157.3,$118.95 ,13,$102 ,$16 
Hebron,1/30/2024,IL60124,166.4,$118.56 ,13,$102 ,$15 
Hebron,9/3/2024,MN55344,154,$118.40 ,10,$102 ,$15 
HEBRON,9/10/2024,SC29730,196.8,$141.96 ,12,$126 ,$15 
Hebron,9/23/2024,TN37013,214.8,$136.56 ,4,$120 ,$15 
Hebron,10/30/2024,TN37660,154.2,$117.16 ,2,$102 ,$14 
Hebron,1/19/2024,RI28427,189,$136.80 ,15,$122 ,$14 
Hebron,12/12/2024,CA92653,184.8,$160.02 ,6,$145 ,$14 
HEBRON,11/6/2024,MS38829,590,$662.50 ,10,$649 ,$13 
Hebron,3/4/2024,IN46060,150.2,$114.58 ,2,$102 ,$11 
HEBRON,1/22/2024,TX77067,291,$114.36 ,6,$102 ,$11 
ANAHEIM,10/4/2024,IL60185,156,$191.64 ,12,$180 ,$11 
Woodridge,9/10/2024,AZ85210,203,$117.80 ,5,$105 ,$11 
HEBRON,11/11/2024,GA30349,160,$113.80 ,4,$102 ,$11 
Hebron,10/11/2024,TX75051,358,$287.60 ,20,$277 ,$10 
KENOSHA,10/23/2024,IL60173,162.4,$113.40 ,14,$102 ,$10 
Knoxville,9/25/2024,CA95650,161.4,$177.42 ,6,$167 ,$9 
FREMONT,3/26/2024,KY41048,184,$145.28 ,8,$135 ,$9 
HEBRON,9/9/2024,VA20175,160,$111.24 ,4,$102 ,$8 
Hebron,9/3/2024,GA30144,159.9,$109.83 ,3,$102 ,$7 
Hebron,9/3/2024,GA30005,155.4,$109.83 ,3,$102 ,$7 
Hebron,11/26/2024,TN37127,161.04,$109.95 ,3,$102 ,$7 
Hebron,12/11/2024,NC28315,155.1,$110.00 ,11,$102 ,$7 
Jacksonville,1/31/2024,KY41048,225,$110.52 ,9,$102 ,$7 
Hebron,11/14/2024,GA30144,224,$113.54 ,14,$105 ,$7 
HEBRON,2/5/2024,OH44145,157.2,$109.44 ,12,$102 ,$6 
Hebron,10/4/2024,TX77477,365.4,$177.10 ,14,$170 ,$6 
Hebron,12/17/2024,GA30802,158.1,$125.28 ,3,$120 ,$5 
Hebron,1/24/2024,MN55441,216,$242.64 ,18,$237 ,$5 
Hebron,10/24/2024,IL60642,184,$108.44 ,4,$102 ,$5 
HEBRON,9/16/2024,TN37122,200,$107.45 ,5,$102 ,$4 
GREENVILLE,12/20/2024,CA95834,153,$106.20 ,6,$102 ,$3 
Hebron,9/9/2024,KY42101,230.1,$105.56 ,13,$102 ,$2 
Hebron,11/7/2024,CA92841,361.71,$236.70 ,9,$234 ,$2 
Hebron,11/8/2024,GA30004,154.7,$105.56 ,13,$102 ,$2 
HEBRON,4/11/2024,MI48335,161,$105.63 ,7,$102 ,$2 
Hebron,9/24/2024,WI53186,178.5,$104.10 ,3,$102 ,$1 
Hebron,10/9/2024,MI49507,156.1,$104.58 ,7,$102 ,$1 
Hebron,2/19/2024,CO80112,190,$229.00 ,25,$227 ,$1 
Hebron,2/15/2024,CO80112,250.8,$300.96 ,33,$300 ,$0 
KNOXVILLE,10/21/2024,NC27703,231,$360.25 ,11,$359 ,$0 
Hebron,12/30/2024,CA94804,209.4,$146.64 ,6,$146 ,$0 
Hebron,11/1/2024,TX77066,162,$129.64 ,4,$128 ,$0 
Hebron,2/8/2024,CO80112,296.4,$355.68 ,39,$355 ,$0 
